姓名,位置,年龄,ca,pa,国籍,俱乐部,角球,传中,盘带,射门,接球,任意球,头球,远射,界外球,盯人,传球,罚点球,抢断,技术,侵略性,预判,勇敢,镇定,集中,决断,意志力,想象力,领导力,无球跑动,防守站位,团队合作,视野,工作投入,爆发力,灵活,平衡,弹跳,体质,速度,耐力,强壮,稳定,肮脏,大赛,伤病,多样,制空能力,拦截传中,沟通,神经指数,手控球,大脚开球,一对一,反应,出击,击球倾向,手抛球的能力,适应性,雄心,争论,忠诚,抗压能力,职业,体育道德,情绪控制,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,身高,左脚,右脚,身价（欧元）,当前声望,本国声望,世界声望,种族,RCA,肤色,出生日期,国家队出场,国家队进球,工资（欧元）,UID,防守,身体,速度,创造,进攻,技术,制空,精神,拦截射门,身体,速度,精神,指挥防守,意外性,制空,大脚,球员习惯,二维码&球员名片&扫码填写评价,球员习惯,二维码&球员名片&扫码填写评价
Thibaut Courtois,GK ,33,181,181,Belgium,R. Madrid,6,2,10,1,10,10,10,1,1,2,13,4,3,12,8,15,15,12,16,16,16,14,13,3,16,14,9,11,12,13,14,18,12,11,8,14,16,5,19,9,16,20,16,14,5,16,16,18,19,12,6,15,14,14,8,15,17,16,14,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,200,20,9,"£46,329,340",9050,8750,8550,NorthernEuropean,178,2,1992/5/11,103,0,"£255,845",18026122,7.00 ,12.25 ,11.50 ,12.00 ,5.33 ,10.67 ,14.00 ,15.33 ,18.50 ,12.25 ,11.50 ,15.33 ,15.00 ,5.00 ,18.00 ,15.50 ,,#NAME?,,
"Alisson(Liverpool,Brazil)",GK ,32,180,182,Brazil,Liverpool,2,1,10,1,14,2,7,1,1,2,14,5,3,13,12,17,14,16,16,16,19,13,11,11,18,12,12,17,13,17,16,14,16,13,12,15,17,5,16,8,13,14,14,14,11,17,15,18,17,16,14,14,18,17,3,17,18,18,13,18,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,9,20,"£300,000,000",9000,8650,8250,NorthernEuropean,180,3,1992/10/2,74,0,"£235,000",19058734,7.67 ,15.00 ,13.00 ,13.00 ,9.33 ,12.33 ,10.50 ,15.67 ,17.50 ,15.00 ,13.00 ,15.67 ,14.00 ,11.00 ,15.50 ,14.50 ,喜欢通过长距离手抛球发起防守反击,#NAME?,喜欢通过长距离手抛球发起防守反击,
"Rodri(Manchester City,Spain)",DM C,29,180,180,Spain,Manchester City,4,8,13,13,15,8,13,15,7,13,16,8,17,14,13,17,15,20,17,18,13,9,11,14,17,16,16,16,14,13,12,17,16,13,17,16,18,10,18,6,10,2,1,2,2,2,1,1,3,1,1,1,15,16,4,13,15,18,13,16,1,1,15,1,1,1,20,1,14,1,1,1,1,1,191,13,20,"£129,600,016",9000,9000,9000,MediterraneanHispanic,178,7,1996/6/22,56,4,"£165,000",67217524,15.67 ,14.50 ,13.50 ,13.67 ,15.67 ,14.00 ,15.00 ,16.00 ,2.00 ,14.50 ,13.50 ,16.00 ,1.50 ,2.00 ,2.00 ,1.00 ,"远射
大力射门
控制节奏",#NAME?,"远射
大力射门
控制节奏",
Joshua Kimmich,D/DM/M RC,30,177,183,Germany,FC Bayern München,16,18,13,11,15,15,12,14,14,12,18,15,13,16,15,16,15,17,14,16,20,12,18,13,12,19,18,18,12,12,13,11,20,13,18,12,19,14,16,4,19,3,3,1,4,2,4,1,3,3,3,1,12,20,8,18,16,20,8,8,1,10,12,18,10,15,20,10,18,10,8,10,8,1,177,12,20,"£111,465,840",8850,8850,8250,NorthernEuropean,167,3,1995/2/8,101,8,"£314,903",92039023,12.33 ,13.75 ,12.50 ,16.00 ,13.67 ,14.67 ,11.50 ,16.67 ,2.00 ,13.75 ,12.50 ,16.67 ,2.00 ,4.00 ,2.50 ,2.50 ,"激怒对手
与裁判争论
回撤拿球
长距离传球
喜欢接脚下球
喜欢将球转移到边路
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）",#NAME?,"激怒对手
与裁判争论
回撤拿球
长距离传球
喜欢接脚下球
喜欢将球转移到边路
倾向于尽可能长地延续自己的职业生涯（隐藏习惯）",
William Saliba,D C,24,176,184,"France,Cameroon,Lebanon",Arsenal,6,10,12,9,15,6,16,11,6,16,13,10,18,16,15,18,15,19,15,16,16,11,10,8,16,17,12,15,14,14,16,16,16,14,16,17,18,10,16,4,7,3,1,3,2,2,2,1,2,2,2,3,16,15,6,14,18,18,15,16,1,1,20,12,1,1,1,1,1,1,1,1,1,1,192,10,20,"£103,171,333",8800,8800,7500,AfricanCaribbean,176,13,2001/3/24,28,0,"£220,000",49039004,16.67 ,15.75 ,14.00 ,12.00 ,12.00 ,14.33 ,16.00 ,16.17 ,1.50 ,15.75 ,14.00 ,16.17 ,2.00 ,2.00 ,2.50 ,2.50 ,把球带出防守区域,#NAME?,把球带出防守区域,
Martin Ødegaard,M/AM C,26,176,180,Norway,Arsenal,16,15,17,13,18,14,8,16,3,9,18,14,10,19,9,18,10,16,15,17,16,16,15,17,10,19,19,15,13,16,16,9,13,13,15,11,14,4,13,7,13,3,2,2,1,3,1,3,1,3,2,3,16,16,4,14,15,20,17,18,1,1,1,1,1,1,13,10,20,13,10,18,14,8,178,20,10,"£115,368,008",8800,8800,7750,NorthernEuropean,175,1,1998/12/17,65,3,"£225,000",53095137,9.67 ,14.50 ,13.00 ,17.67 ,15.33 ,18.00 ,8.50 ,15.83 ,2.00 ,14.50 ,13.00 ,15.83 ,2.00 ,1.00 ,3.00 ,2.00 ,"经常尝试传身后球
撞墙式配合",#NAME?,"经常尝试传身后球
撞墙式配合",
"Vitinha(Paris Saint-Germain,Portugal)",DM/M C,25,176,179,Portugal,Paris Saint-Germain,13,13,17,12,17,13,7,14,8,15,17,17,14,16,14,16,15,16,16,15,15,17,14,15,15,16,16,16,13,18,16,8,16,13,18,11,18,5,14,5,13,3,3,1,3,1,1,1,2,3,3,2,15,14,5,16,16,16,15,14,1,1,1,1,1,1,20,1,18,1,1,13,1,1,172,10,20,"£191,167,376",8800,8750,7250,MediterraneanHispanic,173,5,2000/2/13,29,0,"£107,859",83174762,14.67 ,15.75 ,13.00 ,16.67 ,14.33 ,16.67 ,7.50 ,15.50 ,1.50 ,15.75 ,13.00 ,15.50 ,2.00 ,3.00 ,2.00 ,1.50 ,"回撤拿球
撞墙式配合
控制节奏
喜欢接脚下球",#NAME?,"回撤拿球
撞墙式配合
控制节奏
喜欢接脚下球",
Pedri,DM/M C,22,175,180,Spain,Barcelona,12,15,17,12,18,10,6,12,6,9,18,11,11,18,12,16,12,16,15,16,16,16,12,14,12,16,18,16,14,17,13,8,16,13,16,10,17,5,14,10,14,2,3,3,4,3,3,2,3,1,2,4,13,14,5,15,13,14,16,16,1,1,1,1,1,1,19,12,20,12,12,15,12,1,174,14,20,"£149,959,088",8750,8750,8250,MediterraneanHispanic,171,2,2002/11/25,33,3,"£207,409",67293495,10.67 ,14.00 ,13.50 ,17.33 ,14.00 ,17.67 ,7.00 ,15.17 ,2.50 ,14.00 ,13.50 ,15.17 ,3.00 ,4.00 ,2.50 ,3.50 ,"经常尝试传身后球
回撤拿球
喜欢接脚下球",#NAME?,"经常尝试传身后球
回撤拿球
喜欢接脚下球",
Achraf Hakimi,D/WB R,26,175,178,"Morocco,Spain",Paris Saint-Germain,7,15,15,13,15,13,11,13,11,13,15,10,13,14,15,13,12,13,13,13,15,14,15,17,13,13,13,14,18,15,14,11,17,18,18,12,17,8,14,5,15,1,1,3,3,1,2,2,1,2,1,1,15,16,10,14,14,15,12,13,1,12,1,20,13,20,1,12,1,15,8,1,10,1,181,10,20,"£146,768,240",8750,8250,8000,NorthAfricanMiddleEastern,160,8,1998/11/4,84,11,"£241,811",67228634,13.00 ,14.75 ,18.00 ,14.00 ,14.33 ,14.67 ,11.00 ,13.17 ,1.50 ,14.75 ,18.00 ,13.17 ,2.00 ,3.00 ,1.00 ,1.50 ,"有机会就前插
趟球变向加速过人
经常带球",#NAME?,"有机会就前插
趟球变向加速过人
经常带球",
Raphinha,M/AM RLC,28,175,177,"Brazil,Italy",Barcelona,15,15,15,15,15,14,10,14,11,8,15,13,11,15,16,15,17,15,14,15,19,17,16,19,8,14,14,16,16,15,15,8,17,15,16,11,16,12,16,6,14,1,1,2,3,4,1,3,1,3,2,2,15,18,9,13,15,16,12,7,1,1,1,1,1,1,1,17,8,15,20,17,18,10,176,20,14,"£69,136,544",8750,7950,8000,MixedRace,172,11,1996/12/14,34,11,"£241,977",19242277,9.00 ,14.25 ,15.50 ,15.33 ,16.33 ,15.00 ,9.00 ,15.67 ,2.00 ,14.25 ,15.50 ,15.67 ,1.50 ,3.00 ,2.50 ,1.50 ,"大力射门
激怒对手
喜欢从双侧内切
长距离传球",#NAME?,"大力射门
激怒对手
喜欢从双侧内切
长距离传球",
Federico Valverde,DM/M RC,27,175,176,"Uruguay,Spain",R. Madrid,13,12,12,13,14,14,12,17,10,13,15,11,15,14,12,15,17,13,14,13,18,14,14,14,13,18,13,18,17,15,15,12,17,17,18,14,15,8,16,6,14,2,4,2,2,3,2,1,2,2,2,2,12,14,10,12,12,16,11,8,1,1,1,12,1,12,17,1,20,15,1,10,15,1,182,12,20,"£87,476,128",8750,8250,8250,MediterraneanHispanic,170,8,1998/7/22,69,8,"£181,301",78074594,13.67 ,15.50 ,17.00 ,14.00 ,13.33 ,13.33 ,12.00 ,15.83 ,1.50 ,15.50 ,17.00 ,15.83 ,3.00 ,2.00 ,2.50 ,2.00 ,"沿右路带球突进
远射
大力射门
长距离传球",#NAME?,"沿右路带球突进
远射
大力射门
长距离传球",
Kevin De Bruyne,M/AM C,34,173,190,Belgium,Parthenope,14,19,15,16,16,17,6,17,7,9,19,16,9,18,12,14,13,15,15,17,17,16,13,13,10,14,20,15,12,13,14,10,17,12,13,13,15,6,13,8,14,4,3,1,2,1,1,3,3,2,2,1,13,17,13,14,11,18,16,13,1,1,1,1,1,1,12,13,20,13,12,20,12,12,181,16,20,"£300,000,000",8650,9500,8650,NorthernEuropean,170,4,1991/6/28,111,31,"£184,641",18004457,9.33 ,13.25 ,12.00 ,18.33 ,14.67 ,16.33 ,8.00 ,15.00 ,3.00 ,13.25 ,12.00 ,15.00 ,2.00 ,2.00 ,2.50 ,1.00 ,"经常尝试传身后球
角度刁钻的射门
回撤拿球",#NAME?,"经常尝试传身后球
角度刁钻的射门
回撤拿球",
Cole Palmer,AM RLC,23,173,173,England,Chelsea,13,16,17,18,19,15,8,15,3,6,15,20,8,18,8,15,8,19,12,18,10,16,7,13,8,11,16,13,15,16,16,13,13,15,17,9,18,5,15,6,10,4,3,2,1,3,2,1,1,3,2,3,7,11,8,10,9,12,13,9,1,1,1,1,1,1,1,10,13,14,17,20,20,14,189,20,9,"£172,800,000",8500,8500,8250,NorthernEuropean,170,5,2002/5/6,12,2,"£130,000",28120042,7.33 ,14.50 ,15.00 ,15.67 ,16.67 ,18.00 ,10.50 ,12.33 ,1.00 ,14.50 ,15.00 ,12.33 ,2.50 ,1.00 ,3.50 ,2.50 ,"远射
弧线球射门
喜欢从双侧内切
喜欢连续过多人",#NAME?,"远射
弧线球射门
喜欢从双侧内切
喜欢连续过多人",
Lionel Messi,AM/ST RC,38,172,200,"Argentina,Spain",Inter Miami CF,15,16,20,17,19,18,10,16,4,4,19,17,7,20,8,17,10,17,15,18,17,18,17,15,5,11,20,6,13,15,18,6,14,10,11,9,16,9,19,10,12,2,1,3,2,3,3,1,1,1,3,3,17,18,5,17,19,17,11,12,1,1,1,1,1,1,1,8,8,12,11,19,20,19,171,20,12,"£1,751,579",8750,10000,8750,MediterraneanHispanic,161,3,1987/6/24,193,112,"£291,085",7458500,5.33 ,13.25 ,11.50 ,19.00 ,16.33 ,19.67 ,8.00 ,14.67 ,1.00 ,13.25 ,11.50 ,14.67 ,2.00 ,2.00 ,2.50 ,3.00 ,"经常尝试传身后球
角度刁钻的射门
回撤拿球
撞墙式配合
经常带球",#NAME?,"经常尝试传身后球
角度刁钻的射门
回撤拿球
撞墙式配合
经常带球",
Bruno Fernandes,DM/M/AM C,30,172,174,Portugal,Manchester United,16,16,11,15,17,16,9,15,3,3,18,19,8,17,18,17,15,14,13,12,17,17,17,16,7,15,18,18,13,14,13,9,20,13,20,10,14,14,12,1,15,3,3,1,1,1,3,2,3,3,1,1,18,15,4,13,14,18,5,7,1,1,1,1,1,1,18,1,18,1,10,20,12,10,179,13,20,"£95,821,152",8500,9000,7750,MediterraneanHispanic,166,6,1994/9/8,80,25,"£300,000",43124203,6.00 ,14.25 ,13.00 ,17.67 ,15.00 ,15.00 ,9.00 ,14.83 ,2.50 ,14.25 ,13.00 ,14.83 ,2.00 ,1.00 ,2.00 ,2.00 ,"插入对方禁区
经常尝试传身后球
远射
与裁判争论
撞墙式配合
鼓动观众情绪",#NAME?,"插入对方禁区
经常尝试传身后球
远射
与裁判争论
撞墙式配合
鼓动观众情绪",
Florian Wirtz,M/AM RLC,22,170,188,Germany,Liverpool,14,13,18,14,18,13,7,14,6,8,18,14,10,19,13,15,13,16,13,14,17,18,12,13,8,16,18,17,14,16,14,7,14,15,16,10,17,10,17,8,14,4,3,1,3,1,3,3,1,3,3,3,14,18,4,16,18,16,8,8,1,1,1,1,1,1,10,12,18,12,15,20,15,14,177,10,20,"£158,400,000",8500,8500,8000,NorthernEuropean,169,3,2003/5/3,31,7,"£200,000",91193048,8.67 ,14.00 ,14.50 ,18.00 ,14.33 ,18.33 ,7.00 ,14.67 ,2.00 ,14.00 ,14.50 ,14.67 ,2.00 ,3.00 ,2.50 ,3.00 ,"经常尝试传身后球
用外脚背
撞墙式配合
经常带球",#NAME?,"经常尝试传身后球
用外脚背
撞墙式配合
经常带球",
Alexander Isak,AM/ST L,25,170,180,"Sweden,Eritrea",Liverpool,7,9,18,18,15,8,12,10,6,5,13,16,6,17,11,15,13,16,12,14,14,17,7,18,6,14,15,14,17,19,15,14,14,16,14,12,16,7,15,5,8,2,3,4,3,3,2,3,3,3,3,1,13,15,5,10,13,8,14,14,1,1,1,1,1,1,1,12,1,6,18,10,12,20,190,10,20,"£248,468,000",8500,8250,7500,AfricanCaribbean,167,14,1999/9/21,52,16,"£300,000",93070286,5.67 ,15.00 ,16.50 ,15.00 ,17.33 ,16.67 ,13.00 ,13.67 ,3.00 ,15.00 ,16.50 ,13.67 ,3.50 ,3.00 ,2.50 ,1.50 ,角度刁钻的射门,#NAME?,角度刁钻的射门,
Julián Álvarez,AM/ST RLC,25,170,180,"Argentina,Italy",A. Madrid,14,13,15,16,16,17,11,16,6,7,15,15,9,15,11,16,15,15,15,16,15,16,10,16,8,16,14,16,16,15,13,7,15,14,16,12,14,8,16,6,13,2,3,2,3,3,2,2,3,3,3,1,14,14,5,12,14,14,17,8,1,1,1,1,1,1,1,1,1,1,15,16,15,20,170,15,20,"£112,001,208",8500,8500,8000,MediterraneanHispanic,165,7,2000/1/31,46,13,"£129,631",14183207,8.00 ,14.00 ,15.00 ,15.00 ,15.67 ,15.33 ,9.00 ,15.50 ,2.50 ,14.00 ,15.00 ,15.50 ,2.50 ,3.00 ,2.50 ,1.50 ,"跑肋部空间接球
远射
撞墙式配合",#NAME?,"跑肋部空间接球
远射
撞墙式配合",
Michael Olise,M/AM RC,23,170,180,"France,England,Nigeria",FC Bayern München,15,16,17,15,18,16,8,16,6,8,17,15,9,18,8,17,12,17,13,16,13,17,8,16,8,12,17,13,15,16,16,11,12,14,15,13,17,6,16,10,12,2,2,1,1,3,2,4,2,1,2,1,16,18,5,8,18,12,11,16,1,1,1,1,1,1,1,12,15,17,12,18,20,12,184,20,9,"£166,321,792",8500,7750,7750,AfricanCaribbean,172,15,2001/12/12,8,2,"£223,746",29221846,8.33 ,15.00 ,14.50 ,17.00 ,16.00 ,17.67 ,9.50 ,13.83 ,3.00 ,15.00 ,14.50 ,13.83 ,1.50 ,1.00 ,2.50 ,1.50 ,"弧线球射门
尝试花式动作
经常带球",#NAME?,"弧线球射门
尝试花式动作
经常带球",
Rúben Dias,D C,28,170,177,Portugal,Manchester City,4,11,12,6,13,5,15,4,5,17,14,8,17,13,16,16,18,15,14,15,18,8,17,8,17,16,13,17,13,13,12,16,18,13,18,16,17,13,16,4,8,2,2,4,1,1,2,1,1,3,2,2,18,18,8,16,16,18,14,16,1,1,20,1,1,1,1,1,1,1,1,1,1,1,186,12,20,"£85,800,000",8500,8500,8500,MediterraneanHispanic,169,4,1997/5/14,68,3,"£200,000",55070299,17.00 ,14.75 ,13.00 ,11.67 ,9.67 ,12.67 ,15.50 ,16.17 ,1.00 ,14.75 ,13.00 ,16.17 ,3.00 ,1.00 ,1.50 ,2.00 ,"与裁判争论
鼓动观众情绪
把球带出防守区域",#NAME?,"与裁判争论
鼓动观众情绪
把球带出防守区域",
Lautaro Martínez,ST ,27,170,175,Argentina,Blu-neri Milano,4,8,14,17,16,5,16,15,4,5,12,15,8,16,18,15,18,15,14,14,19,17,16,16,7,15,12,18,15,16,14,11,20,15,19,13,16,14,15,6,11,2,1,1,2,2,3,2,4,2,2,1,16,18,4,18,15,19,12,12,1,1,1,1,1,1,1,1,1,1,1,10,1,20,174,14,20,"£113,245,672",8500,8000,8250,MediterraneanHispanic,168,7,1997/8/22,64,29,"£277,044",14110660,6.67 ,15.50 ,15.00 ,13.67 ,16.00 ,15.33 ,13.50 ,15.83 ,3.00 ,15.50 ,15.00 ,15.83 ,1.00 ,2.00 ,2.00 ,2.00 ,"大力射门
撞墙式配合
第一时间射门",#NAME?,"大力射门
撞墙式配合
第一时间射门",
Robert Lewandowski,ST ,36,169,190,Poland,Barcelona,6,9,13,18,16,15,17,12,3,7,13,19,7,16,14,17,15,17,17,17,18,14,15,18,7,14,14,14,12,12,17,13,17,13,14,15,15,8,16,7,8,3,3,3,1,1,2,2,1,3,3,3,15,18,12,11,16,18,10,11,1,1,1,1,1,1,1,1,1,1,10,12,8,20,185,14,20,"£7,186,746",8500,9100,8500,NorthernEuropean,168,3,1988/8/21,158,85,"£432,103",719601,7.00 ,14.50 ,12.50 ,13.67 ,17.67 ,15.00 ,15.00 ,16.33 ,1.50 ,14.50 ,12.50 ,16.33 ,3.00 ,1.00 ,2.00 ,2.50 ,"角度刁钻的射门
喜欢过顶球吊射",#NAME?,"角度刁钻的射门
喜欢过顶球吊射",
